                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     58,                 2.3183,                 2.0367,                 1.1083,                0.54116,                0.56759,                0.55413,                0.19874,                 2.2083,                 1.4566,                 1.0665,              0.0004357,              0.0004357,              0.0004357
                     59,                 2.3131,                 2.0528,                 1.1156,                0.51287,                0.55336,                0.55177,                0.20686,                 2.2142,                 1.4212,                 1.0649,              0.0004258,              0.0004258,              0.0004258
                     60,                 2.2891,                 2.0218,                 1.1141,                0.55122,                 0.5438,                0.55216,                0.20269,                 2.1959,                 1.3956,                 1.0645,              0.0004159,              0.0004159,              0.0004159
                     61,                 2.3097,                 2.0321,                 1.1148,                 0.5514,                0.53763,                0.58473,                0.20935,                 2.2261,                 1.4213,                  1.071,               0.000406,               0.000406,               0.000406
                     62,                 2.3017,                 2.0294,                 1.1071,                0.56636,                 0.5791,                0.57776,                0.21593,                 2.2159,                 1.3728,                 1.0695,              0.0003961,              0.0003961,              0.0003961
                     63,                 2.2795,                 2.0082,                 1.1073,                0.53862,                0.58716,                0.57484,                0.20605,                 2.2044,                 1.4255,                 1.0656,              0.0003862,              0.0003862,              0.0003862
                     64,                 2.2881,                  1.995,                 1.1106,                0.49631,                0.56126,                0.53267,                0.19904,                 2.1657,                 1.4582,                 1.0599,              0.0003763,              0.0003763,              0.0003763
                     65,                 2.2754,                 1.9712,                 1.1039,                0.50931,                0.58871,                0.57653,                0.21491,                 2.1797,                 1.4015,                 1.0568,              0.0003664,              0.0003664,              0.0003664
                     66,                 2.2716,                 1.9736,                 1.1033,                0.61589,                 0.5981,                0.60664,                0.22305,                 2.1921,                 1.3526,                  1.056,              0.0003565,              0.0003565,              0.0003565
                     67,                  2.263,                 1.9566,                 1.1059,                0.57658,                0.60657,                0.61058,                0.22177,                 2.1858,                 1.3698,                 1.0615,              0.0003466,              0.0003466,              0.0003466
                     68,                 2.2626,                 1.9606,                 1.1093,                0.58309,                0.60039,                0.56908,                0.21189,                 2.1868,                 1.3899,                 1.0621,              0.0003367,              0.0003367,              0.0003367
                     69,                 2.2621,                 1.9506,                 1.0964,                0.56917,                0.59504,                0.61269,                0.23479,                 2.1446,                 1.3952,                 1.0477,              0.0003268,              0.0003268,              0.0003268
                     70,                 2.2575,                  1.945,                 1.1033,                0.63542,                 0.5569,                0.62305,                0.23097,                 2.1279,                 1.3559,                  1.047,              0.0003169,              0.0003169,              0.0003169
                     71,                 2.2555,                 1.9457,                 1.0919,                0.66304,                0.58238,                 0.6306,                0.23459,                 2.1122,                 1.3619,                 1.0438,               0.000307,               0.000307,               0.000307
                     72,                 2.2477,                 1.9227,                 1.0954,                0.62258,                0.63075,                0.64094,                0.23766,                 2.0868,                 1.3575,                 1.0438,              0.0002971,              0.0002971,              0.0002971
                     73,                 2.2466,                 1.9258,                 1.0906,                0.62272,                 0.6462,                0.65539,                0.24832,                 2.1176,                 1.3418,                 1.0446,              0.0002872,              0.0002872,              0.0002872
                     74,                  2.248,                 1.9061,                 1.0928,                0.59614,                0.62201,                0.63789,                0.25197,                 2.1359,                 1.3573,                 1.0483,              0.0002773,              0.0002773,              0.0002773
                     75,                 2.2316,                  1.907,                 1.0865,                0.59446,                0.61307,                0.63978,                0.25829,                  2.135,                 1.3341,                 1.0461,              0.0002674,              0.0002674,              0.0002674
                     76,                 2.2361,                 1.8913,                 1.0893,                0.58273,                 0.6231,                0.64446,                0.26542,                 2.1326,                 1.3306,                 1.0457,              0.0002575,              0.0002575,              0.0002575
                     77,                 2.1979,                 1.8537,                 1.0821,                0.65379,                0.62035,                0.66516,                0.25494,                 2.1012,                  1.308,                 1.0424,              0.0002476,              0.0002476,              0.0002476
                     78,                 2.2252,                 1.8752,                  1.089,                0.66517,                  0.594,                0.65667,                0.24737,                 2.1417,                 1.3561,                 1.0477,              0.0002377,              0.0002377,              0.0002377
                     79,                 2.2117,                 1.8556,                 1.0821,                0.62021,                0.59988,                0.65507,                0.24978,                 2.0945,                 1.3362,                 1.0418,              0.0002278,              0.0002278,              0.0002278
                     80,                  2.211,                 1.8455,                 1.0855,                0.62102,                0.67081,                0.67175,                0.26055,                 2.0926,                 1.3155,                 1.0423,              0.0002179,              0.0002179,              0.0002179
                     81,                 2.2155,                 1.8506,                 1.0884,                0.65114,                0.61965,                0.66106,                0.25796,                 2.1174,                 1.3232,                 1.0471,               0.000208,               0.000208,               0.000208
                     82,                 2.2028,                 1.8455,                 1.0874,                0.68104,                0.62297,                0.66907,                0.26256,                 2.1022,                 1.3236,                 1.0421,              0.0001981,              0.0001981,              0.0001981
                     83,                 2.2087,                  1.866,                 1.0872,                0.68588,                0.61028,                0.66302,                0.25563,                 2.1135,                 1.3099,                 1.0413,              0.0001882,              0.0001882,              0.0001882
                     84,                 2.1923,                   1.83,                 1.0772,                0.65892,                0.59041,                 0.6424,                0.24391,                 2.1344,                 1.3326,                 1.0481,              0.0001783,              0.0001783,              0.0001783
                     85,                 2.1904,                 1.8201,                 1.0807,                0.67296,                0.58064,                0.64807,                0.24883,                 2.1235,                 1.3257,                 1.0446,              0.0001684,              0.0001684,              0.0001684
                     86,                 2.1775,                 1.8269,                 1.0731,                0.64081,                0.63254,                0.66639,                0.25656,                 2.1133,                 1.3202,                 1.0398,              0.0001585,              0.0001585,              0.0001585
                     87,                 2.1858,                  1.831,                 1.0875,                0.67036,                0.59606,                0.67503,                0.26569,                 2.1112,                  1.321,                 1.0411,              0.0001486,              0.0001486,              0.0001486
                     88,                 2.1996,                  1.832,                 1.0826,                0.66696,                0.56972,                0.66116,                0.24316,                 2.1334,                  1.334,                 1.0474,              0.0001387,              0.0001387,              0.0001387
                     89,                 2.1806,                 1.7977,                 1.0734,                 0.6847,                0.61084,                0.67346,                0.25598,                 2.1059,                 1.2949,                 1.0417,              0.0001288,              0.0001288,              0.0001288
                     90,                 2.1809,                 1.7908,                  1.078,                0.65153,                0.57654,                0.64946,                0.24217,                 2.1267,                 1.3288,                 1.0472,              0.0001189,              0.0001189,              0.0001189
                     91,                 2.1713,                 1.7921,                 1.0778,                0.66132,                0.58743,                0.64561,                0.25081,                 2.1175,                 1.3152,                 1.0471,               0.000109,               0.000109,               0.000109
                     92,                 2.1724,                 1.8017,                 1.0829,                0.68834,                0.57498,                0.65258,                0.25805,                 2.1196,                  1.315,                 1.0434,               9.91e-05,               9.91e-05,               9.91e-05
                     93,                 2.1672,                 1.7902,                 1.0767,                0.67656,                0.60298,                0.67312,                0.26183,                 2.1313,                 1.3232,                 1.0436,               8.92e-05,               8.92e-05,               8.92e-05
                     94,                 2.1619,                 1.7841,                 1.0704,                0.67282,                0.62192,                0.68265,                0.26085,                 2.1192,                 1.3127,                 1.0437,               7.93e-05,               7.93e-05,               7.93e-05
                     95,                 2.1547,                 1.7695,                 1.0761,                0.70822,                0.59254,                0.66931,                0.25806,                 2.1131,                 1.3237,                 1.0417,               6.94e-05,               6.94e-05,               6.94e-05
                     96,                 2.1813,                 1.7986,                 1.0695,                0.69681,                0.58599,                0.66704,                0.25444,                 2.1211,                 1.3231,                  1.045,               5.95e-05,               5.95e-05,               5.95e-05
                     97,                  2.138,                 1.7692,                 1.0766,                0.72136,                0.57739,                0.67068,                0.25379,                 2.1159,                 1.3186,                 1.0425,               4.96e-05,               4.96e-05,               4.96e-05
                     98,                 2.1787,                 1.7776,                 1.0632,                0.72039,                0.58467,                0.66804,                0.24772,                 2.1233,                 1.3198,                 1.0467,               3.97e-05,               3.97e-05,               3.97e-05
                     99,                 2.1721,                 1.7847,                 1.0653,                0.67026,                0.59996,                0.66568,                0.25733,                 2.1147,                 1.3221,                 1.0434,               2.98e-05,               2.98e-05,               2.98e-05
