                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     52,                  2.525,                 2.0577,                 1.2456,                0.42409,                0.50859,                0.47715,                0.18131,                 2.2574,                  1.468,                 1.1528,              0.0004951,              0.0004951,              0.0004951
                     53,                 2.5193,                 2.0417,                 1.2393,                0.48242,                0.53948,                0.50722,                0.19183,                 2.2473,                 1.4508,                  1.147,              0.0004852,              0.0004852,              0.0004852
                     54,                  2.506,                 2.0139,                 1.2358,                0.54493,                0.48119,                0.51847,                0.18123,                  2.312,                 1.4674,                  1.162,              0.0004753,              0.0004753,              0.0004753
                     55,                  2.481,                 1.9942,                 1.2175,                0.53857,                0.50332,                0.51638,                0.18772,                 2.2979,                 1.4548,                 1.1559,              0.0004654,              0.0004654,              0.0004654
                     56,                 2.4938,                 2.0124,                 1.2382,                0.53537,                0.49679,                0.53391,                0.19985,                 2.2736,                  1.436,                 1.1508,              0.0004555,              0.0004555,              0.0004555
                     57,                 2.4514,                 1.9779,                 1.2308,                0.55504,                 0.5818,                0.57295,                0.20916,                 2.2605,                 1.4007,                 1.1438,              0.0004456,              0.0004456,              0.0004456
                     58,                 2.4807,                 1.9612,                  1.225,                0.55386,                0.51954,                0.56037,                 0.2072,                 2.2597,                 1.4187,                 1.1489,              0.0004357,              0.0004357,              0.0004357
                     59,                 2.4514,                 1.9745,                 1.2242,                0.54573,                0.52224,                0.54707,                0.20104,                  2.266,                 1.4418,                 1.1487,              0.0004258,              0.0004258,              0.0004258
                     60,                 2.4609,                 1.9604,                 1.2381,                0.51242,                0.46812,                0.52526,                 0.1852,                 2.2546,                 1.4377,                 1.1459,              0.0004159,              0.0004159,              0.0004159
                     61,                 2.4606,                 1.9499,                 1.2255,                0.59269,                0.52526,                0.53969,                0.19852,                 2.2723,                 1.4032,                 1.1517,               0.000406,               0.000406,               0.000406
                     62,                 2.4664,                 1.9476,                  1.226,                0.57487,                0.54049,                 0.5723,                0.21771,                 2.2183,                 1.3516,                 1.1467,              0.0003961,              0.0003961,              0.0003961
                     63,                  2.463,                 1.9322,                 1.2301,                0.48188,                0.51954,                0.51343,                0.17729,                 2.3009,                 1.4562,                 1.1629,              0.0003862,              0.0003862,              0.0003862
                     64,                 2.4346,                 1.9256,                 1.2249,                0.53559,                0.49824,                0.51402,                0.18198,                 2.3017,                  1.448,                 1.1569,              0.0003763,              0.0003763,              0.0003763
                     65,                 2.4333,                  1.896,                 1.2187,                0.54082,                0.53215,                0.54747,                0.19569,                 2.2451,                  1.419,                 1.1516,              0.0003664,              0.0003664,              0.0003664
                     66,                  2.401,                 1.8828,                 1.2119,                0.59424,                0.56682,                0.59425,                0.22383,                 2.2221,                 1.3385,                 1.1468,              0.0003565,              0.0003565,              0.0003565
                     67,                 2.4164,                 1.8664,                 1.2201,                0.57284,                0.52293,                0.56135,                0.20369,                 2.2398,                 1.3891,                 1.1455,              0.0003466,              0.0003466,              0.0003466
                     68,                 2.4043,                  1.863,                 1.2221,                0.56663,                0.51591,                0.53865,                0.19895,                 2.2232,                 1.4059,                 1.1412,              0.0003367,              0.0003367,              0.0003367
                     69,                 2.4105,                 1.8732,                 1.2085,                 0.5909,                0.54311,                0.58629,                0.21839,                 2.1904,                 1.3652,                 1.1357,              0.0003268,              0.0003268,              0.0003268
                     70,                 2.4079,                 1.8505,                 1.2204,                0.61792,                0.54516,                0.56875,                0.20305,                 2.2153,                 1.3946,                 1.1339,              0.0003169,              0.0003169,              0.0003169
                     71,                 2.4109,                  1.863,                 1.2049,                0.59299,                0.55123,                0.58258,                0.21472,                 2.2205,                  1.372,                 1.1362,               0.000307,               0.000307,               0.000307
                     72,                 2.4154,                 1.8355,                 1.2126,                0.51423,                0.55196,                0.55933,                0.20124,                 2.2363,                 1.3708,                 1.1444,              0.0002971,              0.0002971,              0.0002971
                     73,                 2.4012,                 1.8451,                 1.2021,                0.60147,                0.53306,                0.57153,                0.21164,                 2.2026,                 1.3758,                 1.1276,              0.0002872,              0.0002872,              0.0002872
                     74,                 2.3892,                 1.8202,                 1.2045,                0.60746,                0.59075,                 0.6014,                0.21637,                 2.2002,                 1.3491,                 1.1458,              0.0002773,              0.0002773,              0.0002773
                     75,                 2.4038,                 1.8373,                 1.2025,                0.60897,                0.52257,                0.59442,                0.22516,                 2.1686,                 1.3507,                 1.1302,              0.0002674,              0.0002674,              0.0002674
                     76,                 2.3798,                 1.8107,                 1.2005,                0.59539,                0.59534,                0.62057,                0.22764,                 2.1876,                 1.3287,                 1.1376,              0.0002575,              0.0002575,              0.0002575
                     77,                 2.3439,                 1.7697,                 1.1938,                0.70092,                0.62276,                0.65575,                0.25057,                 2.1804,                 1.2756,                 1.1231,              0.0002476,              0.0002476,              0.0002476
                     78,                 2.3751,                 1.7862,                 1.2041,                0.63396,                0.53996,                0.61114,                0.22402,                 2.2178,                 1.3426,                 1.1361,              0.0002377,              0.0002377,              0.0002377
                     79,                  2.366,                 1.7876,                 1.1927,                0.64409,                0.57408,                0.62529,                0.22958,                 2.2322,                 1.3339,                 1.1319,              0.0002278,              0.0002278,              0.0002278
                     80,                 2.3492,                 1.7775,                 1.1923,                 0.6198,                0.53665,                0.58912,                0.20771,                  2.252,                 1.3524,                 1.1381,              0.0002179,              0.0002179,              0.0002179
                     81,                 2.3512,                 1.7918,                 1.1983,                0.57584,                0.54057,                0.58586,                 0.2152,                 2.2083,                 1.3518,                 1.1291,               0.000208,               0.000208,               0.000208
                     82,                 2.3431,                 1.7665,                 1.1954,                 0.6257,                0.55565,                0.62345,                0.23945,                 2.1741,                  1.328,                 1.1263,              0.0001981,              0.0001981,              0.0001981
                     83,                 2.3645,                 1.7826,                 1.2021,                0.67265,                0.59638,                 0.6619,                0.25344,                  2.158,                 1.2741,                 1.1214,              0.0001882,              0.0001882,              0.0001882
                     84,                 2.3406,                 1.7584,                 1.1879,                0.64929,                0.59275,                0.64027,                0.25219,                 2.1309,                 1.2962,                 1.1159,              0.0001783,              0.0001783,              0.0001783
                     85,                  2.347,                  1.746,                  1.196,                0.61838,                0.53798,                  0.619,                0.22747,                 2.1863,                 1.3154,                 1.1309,              0.0001684,              0.0001684,              0.0001684
                     86,                 2.3243,                 1.7409,                  1.184,                0.65811,                0.56391,                0.62737,                0.24482,                 2.1585,                 1.2869,                 1.1174,              0.0001585,              0.0001585,              0.0001585
                     87,                 2.3397,                 1.7489,                  1.208,                0.66532,                0.58889,                0.64268,                0.24613,                 2.1463,                 1.3069,                 1.1153,              0.0001486,              0.0001486,              0.0001486
                     88,                 2.3309,                 1.7418,                 1.1893,                0.66742,                0.57904,                 0.6486,                0.24438,                 2.2008,                 1.3054,                 1.1236,              0.0001387,              0.0001387,              0.0001387
