                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     44,                 2.2609,                 1.6448,                 1.1099,                 0.7198,                0.66446,                0.68228,                0.23751,                 2.1908,                 1.3071,                 1.0779,               0.005743,               0.005743,               0.005743
                     45,                 2.2503,                  1.632,                 1.1077,                0.61813,                0.58045,                0.61453,                0.21718,                  2.237,                 1.4081,                  1.092,               0.005644,               0.005644,               0.005644
                     46,                 2.2281,                 1.6035,                 1.0926,                0.71385,                0.61141,                0.67227,                0.23982,                 2.1511,                 1.3243,                 1.0582,               0.005545,               0.005545,               0.005545
                     47,                 2.2424,                 1.6027,                 1.0961,                0.60275,                0.62997,                0.63771,                0.20265,                 2.2215,                 1.3536,                 1.0897,               0.005446,               0.005446,               0.005446
                     48,                 2.2141,                 1.5934,                 1.0944,                 0.6918,                0.65342,                0.66547,                0.21628,                 2.2077,                 1.3887,                 1.0698,               0.005347,               0.005347,               0.005347
                     49,                 2.2276,                  1.586,                 1.0905,                0.73605,                0.63349,                0.69946,                0.25429,                 2.1055,                 1.2922,                 1.0559,               0.005248,               0.005248,               0.005248
                     50,                 2.1912,                 1.5618,                 1.0825,                0.71622,                0.63802,                0.73788,                0.28212,                 2.0694,                 1.2273,                 1.0412,               0.005149,               0.005149,               0.005149
                     51,                 2.1929,                 1.5205,                  1.083,                0.76417,                0.65878,                0.72037,                0.25353,                 2.1342,                 1.2664,                 1.0528,                0.00505,                0.00505,                0.00505
                     52,                 2.1811,                 1.5113,                 1.0804,                0.64451,                0.63539,                0.66065,                0.22149,                 2.2014,                 1.3232,                 1.0767,               0.004951,               0.004951,               0.004951
                     53,                 2.1957,                 1.5219,                 1.0815,                0.67468,                0.64818,                0.66865,                0.23486,                 2.1567,                 1.2863,                 1.0625,               0.004852,               0.004852,               0.004852
                     54,                 2.1736,                 1.5137,                 1.0751,                0.71712,                0.67925,                0.73473,                0.25517,                 2.1395,                 1.2567,                 1.0572,               0.004753,               0.004753,               0.004753
                     55,                 2.1508,                 1.4718,                 1.0639,                 0.7793,                 0.6594,                0.72567,                0.26304,                  2.141,                 1.2737,                 1.0561,               0.004654,               0.004654,               0.004654
                     56,                 2.1469,                 1.4748,                 1.0718,                0.79857,                0.68813,                0.76303,                0.27923,                 2.1039,                 1.2189,                 1.0429,               0.004555,               0.004555,               0.004555
                     57,                 2.1119,                 1.4532,                 1.0663,                0.72151,                0.64856,                0.65198,                0.19468,                 2.3378,                 1.3211,                 1.1135,               0.004456,               0.004456,               0.004456
